model,threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_count,true_positive,false_positive,true_negative,false_negative
balanced_logistic,0.010000,0.035357,1.000000,0.068300,0.154882,0.521958,6703,237,6466,297,0
balanced_logistic,0.020000,0.037712,0.995781,0.072671,0.163752,0.552674,6258,236,6022,741,1
balanced_logistic,0.030000,0.039777,0.991561,0.076485,0.171383,0.576366,5908,235,5673,1090,2
balanced_logistic,0.040000,0.042077,0.991561,0.080728,0.179856,0.600246,5585,235,5350,1413,2
balanced_logistic,0.050000,0.044101,0.987342,0.084431,0.187080,0.618689,5306,234,5072,1691,3
balanced_logistic,0.060000,0.046392,0.987342,0.088620,0.195260,0.638059,5044,234,4810,1953,3
balanced_logistic,0.070000,0.048578,0.987342,0.092600,0.202949,0.654842,4817,234,4583,2180,3
balanced_logistic,0.080000,0.050649,0.987342,0.096356,0.210129,0.669407,4620,234,4386,2377,3
balanced_logistic,0.090000,0.052513,0.983122,0.099700,0.216342,0.680752,4437,233,4204,2559,4
balanced_logistic,0.100000,0.054473,0.978903,0.103203,0.222777,0.691729,4259,232,4027,2736,5
balanced_logistic,0.110000,0.056341,0.974684,0.106525,0.228803,0.701300,4100,231,3869,2894,6
balanced_logistic,0.120000,0.058140,0.970464,0.109707,0.234502,0.709763,3956,230,3726,3037,7
balanced_logistic,0.130000,0.060184,0.966245,0.113310,0.240900,0.718743,3805,229,3576,3187,8
balanced_logistic,0.140000,0.062364,0.966245,0.117166,0.247835,0.728576,3672,229,3443,3320,8
balanced_logistic,0.150000,0.064471,0.966245,0.120876,0.254444,0.737447,3552,229,3323,3440,8
balanced_logistic,0.160000,0.066686,0.966245,0.124762,0.261296,0.746171,3434,229,3205,3558,8
balanced_logistic,0.170000,0.068386,0.962025,0.127695,0.266231,0.751381,3334,228,3106,3657,9
balanced_logistic,0.180000,0.070344,0.957806,0.131062,0.271856,0.757108,3227,227,3000,3763,10
balanced_logistic,0.190000,0.072524,0.957806,0.134838,0.278323,0.764279,3130,227,2903,3860,10
balanced_logistic,0.200000,0.074318,0.953586,0.137889,0.283279,0.768676,3041,226,2815,3948,11
