model,threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_count,true_positive,false_positive,true_negative,false_negative
random_forest,0.010000,0.134088,0.949367,0.234987,0.428408,0.867261,1678,225,1453,5310,12
random_forest,0.020000,0.182500,0.924051,0.304802,0.509777,0.889498,1200,219,981,5782,18
random_forest,0.030000,0.220871,0.919831,0.356209,0.563307,0.903062,987,218,769,5994,19
random_forest,0.040000,0.248568,0.915612,0.390991,0.595826,0.909307,873,217,656,6107,20
random_forest,0.050000,0.279739,0.902954,0.427146,0.624635,0.910740,765,214,551,6212,23
random_forest,0.060000,0.308480,0.890295,0.458198,0.646446,0.910178,684,211,473,6290,26
random_forest,0.070000,0.334944,0.877637,0.484848,0.662843,0.908285,621,208,413,6350,29
random_forest,0.080000,0.360771,0.869198,0.509901,0.678078,0.907614,571,206,365,6398,31
random_forest,0.090000,0.380863,0.856540,0.527273,0.685348,0.903873,533,203,330,6433,34
random_forest,0.100000,0.405242,0.848101,0.548431,0.695983,0.902241,496,201,295,6468,36
random_forest,0.110000,0.436009,0.848101,0.575931,0.713272,0.904828,461,201,260,6503,36
random_forest,0.120000,0.461717,0.839662,0.595808,0.721537,0.902679,431,199,232,6531,38
random_forest,0.130000,0.477108,0.835443,0.607362,0.726339,0.901678,415,198,217,6546,39
random_forest,0.140000,0.496203,0.827004,0.620253,0.729710,0.898790,395,196,199,6564,41
random_forest,0.150000,0.511936,0.814346,0.628664,0.728302,0.893570,377,193,184,6579,44
random_forest,0.160000,0.529412,0.797468,0.636364,0.724138,0.886314,357,189,168,6595,48
random_forest,0.170000,0.546512,0.793249,0.647160,0.727554,0.885091,344,188,156,6607,49
random_forest,0.180000,0.548193,0.767932,0.639719,0.710938,0.872876,332,182,150,6613,55
random_forest,0.190000,0.566038,0.759494,0.648649,0.710900,0.869544,318,180,138,6625,57
random_forest,0.200000,0.583607,0.751055,0.656827,0.710295,0.866138,305,178,127,6636,59
random_forest,0.210000,0.600683,0.742616,0.664151,0.709106,0.862658,293,176,117,6646,61
random_forest,0.220000,0.615658,0.729958,0.667954,0.703824,0.856994,281,173,108,6655,64
random_forest,0.230000,0.625000,0.717300,0.667976,0.696721,0.851109,272,170,102,6661,67
random_forest,0.240000,0.630597,0.713080,0.669307,0.694901,0.849221,268,169,99,6664,68
random_forest,0.250000,0.632184,0.696203,0.662651,0.682382,0.841004,261,165,96,6667,72
random_forest,0.260000,0.652000,0.687764,0.669405,0.680301,0.837450,250,163,87,6676,74
random_forest,0.270000,0.666667,0.683544,0.675000,0.680101,0.835784,243,162,81,6682,75
random_forest,0.280000,0.677966,0.675105,0.676533,0.675676,0.831934,236,160,76,6687,77
random_forest,0.290000,0.692982,0.666667,0.679570,0.671769,0.828158,228,158,70,6693,79
random_forest,0.300000,0.714286,0.654008,0.682819,0.665236,0.822420,217,155,62,6701,82
random_forest,0.310000,0.732057,0.645570,0.686099,0.661193,0.818645,209,153,56,6707,84
random_forest,0.320000,0.761421,0.632911,0.691244,0.655022,0.812981,197,150,47,6716,87
random_forest,0.330000,0.781915,0.620253,0.691765,0.647007,0.807095,188,147,41,6722,90
random_forest,0.340000,0.782609,0.607595,0.684086,0.636042,0.800840,184,144,40,6723,93
random_forest,0.350000,0.792135,0.594937,0.679518,0.626110,0.794733,178,141,37,6726,96
random_forest,0.360000,0.803468,0.586498,0.678049,0.619982,0.790735,173,139,34,6729,98
random_forest,0.370000,0.821429,0.582278,0.681481,0.618280,0.788921,168,138,30,6733,99
random_forest,0.380000,0.843750,0.569620,0.680101,0.609206,0.782962,160,135,25,6738,102
random_forest,0.390000,0.863946,0.535865,0.661458,0.579909,0.766454,147,127,20,6743,110
random_forest,0.400000,0.866197,0.518987,0.649077,0.564220,0.758089,142,123,19,6744,114
random_forest,0.410000,0.877698,0.514768,0.648936,0.561178,0.756127,139,122,17,6746,115
random_forest,0.420000,0.875000,0.502110,0.638070,0.548893,0.749798,136,119,17,6746,118
