variable,machine_failure,count,mean,median,std
Air temperature [K],0,9661,299.973999,300.000000,1.990748
Air temperature [K],1,339,300.886431,301.600000,2.071473
Process temperature [K],0,9661,309.995570,310.000000,1.486846
Process temperature [K],1,339,310.290265,310.400000,1.363686
Rotational speed [rpm],0,9661,1540.260014,1507.000000,167.394734
Rotational speed [rpm],1,339,1496.486726,1365.000000,384.943547
Torque [Nm],0,9661,39.629655,39.900000,9.472080
Torque [Nm],1,339,50.168142,53.700000,16.374498
Tool wear [min],0,9661,106.693717,107.000000,62.945790
Tool wear [min],1,339,143.781711,165.000000,72.759876
