threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_count,true_positive,false_positive,true_negative,false_negative
0.010000,0.136778,0.949367,0.239107,0.433860,0.869701,1645,225,1420,5343,12
0.020000,0.187075,0.928270,0.311394,0.517891,0.893456,1176,220,956,5807,17
0.030000,0.224405,0.915612,0.360465,0.566580,0.902357,967,217,750,6013,20
0.040000,0.250000,0.911392,0.392371,0.596026,0.907788,864,216,648,6115,21
0.050000,0.285337,0.911392,0.434608,0.633431,0.915699,757,216,541,6222,21
0.060000,0.311307,0.894515,0.461874,0.650706,0.912583,681,212,469,6294,25
0.070000,0.338188,0.881857,0.488889,0.667305,0.910690,618,209,409,6354,28
0.080000,0.364121,0.864979,0.512500,0.678359,0.906022,563,205,358,6405,32
0.090000,0.389313,0.860759,0.536137,0.692935,0.906722,524,204,320,6443,33
0.100000,0.409274,0.856540,0.553888,0.702909,0.906608,496,203,293,6470,34
0.110000,0.429185,0.843882,0.568990,0.707214,0.902275,466,200,266,6497,37
0.120000,0.457275,0.835443,0.591045,0.716872,0.900348,433,198,235,6528,39
0.130000,0.470024,0.827004,0.599388,0.717949,0.897163,417,196,221,6542,41
0.140000,0.493606,0.814346,0.614650,0.720687,0.892535,391,193,198,6565,44
0.150000,0.508065,0.797468,0.620690,0.715909,0.885205,372,189,183,6580,48
0.160000,0.534091,0.793249,0.638370,0.723077,0.884500,352,188,164,6599,49
0.170000,0.545723,0.780591,0.642361,0.718726,0.878910,339,185,154,6609,52
0.180000,0.563077,0.772152,0.651246,0.718775,0.875578,325,183,142,6621,54
0.190000,0.572785,0.763713,0.654611,0.715981,0.871876,316,181,135,6628,56
0.200000,0.576547,0.746835,0.650735,0.705179,0.863807,307,177,130,6633,60
0.210000,0.602041,0.746835,0.666667,0.712560,0.864768,294,177,117,6646,60
0.220000,0.615658,0.729958,0.667954,0.703824,0.856994,281,173,108,6655,64
0.230000,0.627306,0.717300,0.669291,0.697293,0.851183,271,170,101,6662,67
0.240000,0.630189,0.704641,0.665339,0.688376,0.845075,265,167,98,6665,70
0.250000,0.635659,0.691983,0.662626,0.679934,0.839042,258,164,94,6669,73
0.260000,0.661290,0.691983,0.676289,0.685619,0.839781,248,164,84,6679,73
0.270000,0.672199,0.683544,0.677824,0.681245,0.835932,241,162,79,6684,75
0.280000,0.698690,0.675105,0.686695,0.679694,0.832451,229,160,69,6694,77
0.290000,0.712329,0.658228,0.684211,0.668380,0.824456,219,156,63,6700,81
0.300000,0.727700,0.654008,0.688889,0.667528,0.822716,213,155,58,6705,82
0.310000,0.739130,0.645570,0.689189,0.662338,0.818792,207,153,54,6709,84
0.320000,0.756345,0.628692,0.686636,0.650655,0.810797,197,149,48,6715,88
0.330000,0.768421,0.616034,0.683841,0.641476,0.804764,190,146,44,6719,91
0.340000,0.781421,0.603376,0.680952,0.632184,0.798730,183,143,40,6723,94
0.350000,0.787709,0.594937,0.677885,0.625555,0.794659,179,141,38,6725,96
0.360000,0.812865,0.586498,0.681373,0.621090,0.790883,171,139,32,6731,98
0.370000,0.830303,0.578059,0.681592,0.615454,0.786959,165,137,28,6735,100
0.380000,0.852564,0.561181,0.676845,0.602355,0.778890,156,133,23,6740,104
0.390000,0.860927,0.548523,0.670103,0.591447,0.772709,151,130,21,6742,107
0.400000,0.874126,0.527426,0.657895,0.572869,0.762382,143,125,18,6745,112
0.410000,0.884892,0.518987,0.654255,0.565777,0.758311,139,123,16,6747,114
0.420000,0.902985,0.510549,0.652291,0.559150,0.754313,134,121,13,6750,116
0.430000,0.906250,0.489451,0.635616,0.539033,0.743839,128,116,12,6751,121
0.440000,0.904000,0.476793,0.624309,0.526561,0.737509,125,113,12,6751,124
0.450000,0.901639,0.464135,0.612813,0.514019,0.731180,122,110,12,6751,127
0.460000,0.915966,0.459916,0.612360,0.510778,0.729218,119,109,10,6753,128
0.470000,0.913793,0.447257,0.600567,0.498120,0.722889,116,106,10,6753,131
0.480000,0.918182,0.426160,0.582133,0.477316,0.712415,110,101,9,6754,136
0.490000,0.914286,0.405063,0.561404,0.455840,0.701866,105,96,9,6754,141
0.500000,0.920000,0.388186,0.545994,0.438931,0.693501,100,92,8,6755,145
0.510000,0.928571,0.383966,0.543284,0.434990,0.691466,98,91,7,6756,146
0.520000,0.936842,0.375527,0.536145,0.426654,0.687320,95,89,6,6757,148
0.530000,0.943820,0.354430,0.515337,0.405014,0.676846,89,84,5,6758,153
0.540000,0.941176,0.337553,0.496894,0.387222,0.668407,85,80,5,6758,157
0.550000,0.941176,0.337553,0.496894,0.387222,0.668407,85,80,5,6758,157
0.560000,0.936709,0.312236,0.468354,0.360273,0.655748,79,74,5,6758,163
0.570000,0.935065,0.303797,0.458599,0.351220,0.651529,77,72,5,6758,165
0.580000,0.932432,0.291139,0.443730,0.337573,0.645200,74,69,5,6758,168
0.590000,0.955882,0.274262,0.426230,0.319882,0.636909,68,65,3,6760,172
0.600000,0.952381,0.253165,0.400000,0.296736,0.626360,63,60,3,6760,177
0.610000,0.983333,0.248945,0.397306,0.292659,0.624399,60,59,1,6762,178
0.620000,0.982143,0.232068,0.375427,0.273904,0.615960,56,55,1,6762,182
0.630000,1.000000,0.223629,0.365517,0.264735,0.611814,53,53,0,6763,184
0.640000,1.000000,0.215190,0.354167,0.255255,0.607595,51,51,0,6763,186
0.650000,1.000000,0.206751,0.342657,0.245737,0.603376,49,49,0,6763,188
0.660000,1.000000,0.194093,0.325088,0.231388,0.597046,46,46,0,6763,191
0.670000,1.000000,0.172996,0.294964,0.207280,0.586498,41,41,0,6763,196
0.680000,1.000000,0.164557,0.282609,0.197568,0.582278,39,39,0,6763,198
0.690000,1.000000,0.160338,0.276364,0.192698,0.580169,38,38,0,6763,199
0.700000,1.000000,0.147679,0.257353,0.178026,0.573840,35,35,0,6763,202
0.710000,1.000000,0.126582,0.224719,0.153374,0.563291,30,30,0,6763,207
0.720000,1.000000,0.113924,0.204545,0.138462,0.556962,27,27,0,6763,210
0.730000,1.000000,0.109705,0.197719,0.133470,0.554852,26,26,0,6763,211
0.740000,1.000000,0.092827,0.169884,0.113402,0.546414,22,22,0,6763,215
0.750000,1.000000,0.084388,0.155642,0.103306,0.542194,20,20,0,6763,217
0.760000,1.000000,0.071730,0.133858,0.088083,0.535865,17,17,0,6763,220
0.770000,1.000000,0.067511,0.126482,0.082988,0.533755,16,16,0,6763,221
0.780000,1.000000,0.054852,0.104000,0.067638,0.527426,13,13,0,6763,224
0.790000,1.000000,0.050633,0.096386,0.062500,0.525316,12,12,0,6763,225
0.800000,1.000000,0.042194,0.080972,0.052192,0.521097,10,10,0,6763,227
0.810000,1.000000,0.033755,0.065306,0.041841,0.516878,8,8,0,6763,229
0.820000,1.000000,0.033755,0.065306,0.041841,0.516878,8,8,0,6763,229
